ESNERR_StCode,Region,Date,AvgOfTime,AvgOfDD_LAT,AvgOfDD_LONG,Temp C,Sal (PSU),AvgOfpH,DO SAT %,DO mg/L,Turb (NTU),Chl (ug/L),Floating Algae % Cover,Ammonia as N mg/L,Umol Ammonia,Nitrate as N (mg/L),Umol Nitrate,Nitrite as N (mg/L),MLML Nitrate mg/L,MCCL Phosphate (mg/L),Umol Phosphate,total Nitrogen,Free Ammonia (mg/L),Lab Chl a (ug/L)
RSM,Reserve,3/24/1990,0.51,36.824,-121.74,16.00,27.00,7.80,,7.00,4.50,,,0.06,4.15,0.04,2.77,0.00,,0.03,0.97,,0.00,0.00
SKL,Lower Slough,3/24/1990,0.46,36.8106,-121.7864,13.40,25.00,7.68,,8.50,2.50,,,0.14,9.90,0.10,7.15,0.00,,0.09,2.79,,0.00,0.00
SP,Lower Slough,3/24/1990,0.60,36.8247,-121.7774,16.00,14.20,6.77,,0.50,3.00,,,0.22,15.63,0.02,1.70,0.00,,0.46,14.79,,0.00,0.00
SRB,Salinas River,3/24/1990,0.69,36.7321,-121.7807,17.00,1.50,8.76,,,15.00,,,0.02,1.70,12.10,864.05,0.00,,0.00,0.01,,0.00,0.00
SRL,Salinas River,3/24/1990,0.65,36.748,-121.7835,16.50,5.00,8.37,,13.90,28.00,,,0.03,1.95,5.61,400.95,0.00,,0.00,0.01,,0.00,0.00
BSE,Lower Slough,4/28/1990,0.68,36.8215,-121.7834,19.50,30.00,8.17,,9.70,7.50,,,0.01,0.92,0.01,0.70,0.00,,0.27,8.69,,0.00,0.00
BSW,Lower Slough,4/28/1990,0.67,36.8209,-121.7909,18.40,26.00,8.18,,9.22,9.50,,,0.03,1.83,0.07,5.00,0.00,,0.10,3.15,,0.00,0.00
CC,Upper Slough,4/28/1990,0.65,36.8601,-121.7401,25.00,,8.44,,,21.00,,,0.12,8.55,0.75,53.54,0.00,,0.26,8.51,,0.02,0.00
HLW,Upper Slough,4/28/1990,0.63,36.8565,-121.755,22.20,27.00,7.70,,7.85,9.00,,,0.16,11.20,1.09,77.88,0.00,,0.10,3.36,,0.00,0.00
JR,Lower Slough,4/28/1990,0.69,36.8171,-121.7871,17.00,30.00,8.16,,8.60,6.00,,,0.04,2.54,0.08,5.97,0.00,,0.07,2.30,,0.00,0.00
KP,Upper Slough,4/28/1990,0.61,36.8398,-121.7437,19.50,26.00,7.96,,6.94,7.00,,,0.05,3.53,0.03,2.12,0.00,,0.10,3.18,,0.00,0.00
MCS,Lower Slough,4/28/1990,0.75,36.7963,-121.7832,20.90,29.00,8.27,,12.19,70.00,,,0.06,4.55,0.32,23.12,0.00,,0.07,2.36,,0.00,0.00
PRN,Tembladero Slough,4/28/1990,0.76,36.7908,-121.7904,16.50,26.50,7.80,,9.40,12.00,,,0.04,3.00,0.66,47.38,0.00,,0.04,1.28,,0.00,0.00
PRS,Tembladero Slough,4/28/1990,0.76,36.7904,-121.7907,19.80,4.00,8.15,,10.20,32.00,,,0.06,4.05,13.42,958.32,0.00,,0.31,9.86,,0.00,0.00
